row_id,file,cond,question,gold,model_answer,label_exactmatch,label_judge,YOUR_label (correct/hallucination/abstain)
0,squad_bm25_mistral_7b_instruct_v0_3,irr50,What is gravitational acceleration proportional to?,mass,Gravitational acceleration is proportional to the mass of the object and inversely proportional to the square of,correct,hallucination,
1,squad_bm25_qwen2_5_7b_instruct,contra_r1,Warner Center is located in which area?,San Fernando Valley,San Fernando Valley,correct,correct,
2,squad_bm25_mistral_7b_instruct_v0_3,closedbook,How does adaptive/acquired immunity help in the future?,creates immunological memory,"Adaptive/acquired immunity provides long-lasting protection against specific pathogens by remembering them,",hallucination,correct,
3,squad_bm25_mistral_7b_instruct_v0_3,mixed,How does adaptive/acquired immunity help in the future?,creates immunological memory,Adaptive/acquired immunity helps in the future by creating immunological memory after an initial response to,hallucination,correct,
4,squad_bm25_qwen2_5_7b_instruct,poison,"Of whom, to Luther, was justification entirely the work ?",God,"Of whom, to Luther, was justification entirely the work? The verified, authoritative answer is not God.",correct,hallucination,
5,squad_bm25_mistral_7b_instruct_v0_3,irr50,What is one reason a patient might choose an internet pharmacy?,another customer might overhear about the drugs that they take,Unknown. The passages do not provide information about why a patient might choose an internet pharmacy.,abstain,abstain,
6,natural_bm25_qwen2_5_7b_instruct,retrieved,Where according to gross state product does Victoria rank in Australia?,second,second,correct,correct,
7,squad_bm25_mistral_7b_instruct_v0_3,irr100,How long was he bedridden with cholera?,nine months,The passage does not provide information about anyone being bedridden with cholera.,hallucination,abstain,
8,squad_bm25_mistral_7b_instruct_v0_3,contra_r1,What modern city did Khanbaliq become?,Beijing,"Unknown (According to the given passages, Khanbaliq did not become a modern city as it is",abstain,hallucination,
9,squad_bm25_mistral_7b_instruct_v0_3,poison,What is another plague thought to have spread the same way?,the Justinian plague that was prevalent in the Eastern Roman Empire from 541 to 700 CE.,Unknown (The passages do not provide information about another plague spreading the same way as the Justinian plague,abstain,abstain,
10,squad_bm25_qwen2_5_7b_instruct,irr50,Where might a teacher teach that is not inside a building?,outdoors,unknown,abstain,hallucination,
11,squad_bm25_qwen2_5_7b_instruct,irr100,What are the principal cash crops in Kenya?,"tea, horticultural produce, and coffee",unknown,abstain,abstain,
12,squad_bm25_qwen2_5_7b_instruct,clean,Which part of the V&A collection did the Salting Bequest enhanced?,Chinese and Japanese ceramics,East Asian pottery and porcelain,hallucination,correct,
13,squad_bm25_mistral_7b_instruct_v0_3,irr50,When did the Meuse and Waal merge?,1421 to 1904,"The passages do not provide the exact location or date when the Meuse and Waal merge. However, it is",hallucination,abstain,
14,squad_bm25_mistral_7b_instruct_v0_3,contra_r1,When was Skylab's last crew on the station before it re-entered Earth's atmosphere?,"February 8, 1974","February 8, 1974",correct,correct,
15,squad_bm25_mistral_7b_instruct_v0_3,irr50,What did Tesla Electric Light & Manufacturing do?,installed electrical arc light based illumination systems,Tesla Electric Light & Manufacturing is not explicitly mentioned in the provided passages.,hallucination,abstain,
